M,N,K,time_us,Tflops,utilization_ratio
4168,3567,9713,10711.200195,13.481743866145711,10.743529999999998
1573,5782,3963,2913.560059,12.37105983336793,9.995510000000001
4031,4626,8624,11784.519531,13.64631191971504,10.905355000000002
3414,9794,8332,22126.761719,12.590849092606891,10.050640000000003
5622,1195,3552,1747.400024,13.656498656428997,11.003539999999997
2399,887,7052,1478.599976,10.148818287279614,8.155175
8178,5740,5671,19660.699219,13.540031875506209,10.776719999999996
9065,785,5994,3611.340088,11.810976759494826,9.723474999999999
5268,9468,8834,35395.71875,12.448318021964168,9.936309999999999
9210,4820,3060,10000.519531,13.583307505066857,10.846089999999997
6443,3547,8551,14732.280273,13.26466400650454,10.576465000000004
4728,4062,6539,9144.979492,13.732385557983926,10.93435
3158,6276,2469,3860.659912,12.675193689010957,10.188104999999998
8198,1091,4754,3212.199951,13.236990916073893,10.753894999999998
1682,3119,1476,729.299988,10.617481606211133,8.70108
4577,8503,1529,4805.160156,12.383765216378357,9.912605
4720,5248,1277,2423.100098,13.054353448340292,10.369885
4610,8787,6992,20804.039062,13.614299828793504,10.886895
5235,2012,5306,4176.459961,13.381462636270202,10.684185000000001
965,6368,7288,3626.300049,12.350228595217935,9.983129999999996
1977,8967,6727,9462.360352,12.60305360995831,10.117755000000002
6749,1078,8643,4768.5,13.186845411764704,10.669529999999998
7887,9915,1986,12190.100586,12.74020787887205,10.222835
9490,4518,5166,16582.0,13.35764600892534,10.671075
8081,7624,6526,30398.898438,13.226264924172447,10.537805000000002
4960,9836,1400,4704.759766,14.51746473722076,11.584750000000003
5558,4352,9717,17457.279297,13.463658011840995,10.713449999999998
3568,1346,6655,2436.820068,13.115791461054235,10.562240000000001
2164,9495,6369,9983.939453,13.107550384901156,10.494309999999995
9458,1776,1149,1611.23999,11.978489803992513,9.5405
4575,2591,9096,10768.519531,10.012740552645612,7.999969999999998
5099,1277,920,625.859985,9.571644303158315,7.725150000000001
2659,7783,8793,14759.299805,12.329250779183559,9.849390000000003
6316,2852,1981,2810.840088,12.695212632103317,10.182250000000002
3390,4908,5251,6585.260254,13.267018272653981,10.617930000000001
8065,8664,2730,14470.05957,13.183027055084889,10.529685
7962,6251,8498,31543.318359,13.408525420893875,10.677205
5675,3343,2014,3024.639893,12.632462938291345,10.123089999999998
5403,1778,3150,2425.340088,12.476840773680397,10.025120000000005
2984,7663,6578,11283.620117,13.330396186360726,10.65563
2946,4094,5949,5485.419922,13.080208606862604,10.47764
7059,8368,8108,38573.199219,12.416321036189549,9.893599999999998
9097,852,7144,4639.560059,11.934450687536621,9.677460000000002
2239,7244,7716,9607.160156,13.02655938111333,10.400434999999996
1441,9060,4329,4418.300293,12.791590112048546,10.357924999999998
9437,2997,7627,16106.459961,13.39289139421839,10.705645
9422,3484,1864,4771.619629,12.823345327050585,10.30291
6422,5170,1720,4724.700195,12.086902965914009,9.698939999999999
9554,4838,9596,32725.71875,13.553521423941223,10.788460000000002
4685,5011,5203,9204.120117,13.271057966680814,10.626734999999995
7586,2886,4545,7630.520508,13.040339216135687,10.475995000000005
5007,1684,6186,4012.120117,13.000368644745636,10.507134999999996
4240,3585,9714,10710.680664,13.785929226355655,11.074035
7021,8620,4729,21647.779297,13.22093595159956,10.514729999999998
2536,7163,6322,8346.099609,13.759895265587405,10.97522
3536,1937,9816,4827.919922,13.92567863556209,11.2339
5273,1500,1126,808.559998,11.014763310118639,8.912665000000004
7069,1217,4453,2970.819824,12.8951067511794,10.457439999999998
6238,7472,5342,18493.019531,13.46412977581146,10.70577
2884,1777,9231,3796.300049,12.461516712953582,10.02855
7142,7696,3227,13756.540039,12.893613682012269,10.2829
4759,8334,6208,15788.099609,15.595203687950077,12.439295
7310,8521,1166,5987.660156,12.129680170178315,9.723039999999997
4852,8256,1139,3724.280029,12.251009379724596,9.85053
8022,3461,8663,18109.199219,13.281689556634173,10.638985000000003
2172,1735,4469,1327.819946,12.683247476988871,10.188175
9387,8486,5196,31627.519531,13.086811745268509,10.432679999999998
7084,6910,2584,9353.459961,13.523117379814696,10.791049999999998
3921,5356,8638,13880.359375,13.069226954939703,10.418595000000002
7843,5916,3267,11572.619141,13.098689704472667,10.50382
3958,4830,2686,3898.919922,13.169964776722079,10.482585
9642,5462,5671,22242.880859,13.42726111681503,10.70508
4952,7944,5871,16886.839844,13.67677075057123,10.900485
7865,3836,3783,8915.620117,12.801536867006465,10.214899999999997
5378,4889,8910,17315.71875,13.52938376987672,10.83433
3168,9947,1469,3268.280029,14.163801330745763,11.269965
7129,4634,5493,13657.179688,13.287192278611249,10.60818
1774,8762,8851,11038.820312,12.46311324031995,9.93348
2027,7912,6555,8122.179688,12.943154345048269,10.317730000000003
6345,3594,9572,16386.859375,13.320381469374755,10.655795000000001
9546,3046,8507,18507.701172,13.365194494615324,10.650079999999999
6370,4853,5936,13153.179688,13.951241700698038,11.108349999999998
2819,5191,2250,2680.780029,12.28195334709426,9.919934999999999
3886,9317,5327,14640.34082,13.17377984879453,10.502014999999998
2776,3873,4637,3770.300049,13.222943460222202,10.611995
8214,4938,6139,18343.861328,13.574150463508126,10.820614999999997
4681,9293,6434,21804.539062,12.835970919915795,10.234405000000004
4010,2561,8780,8400.660156,10.733344061728284,8.655175000000002
4920,8216,6444,19651.919922,13.25488851541637,10.574699999999996
