M,N,K,time_us,Tflops,utilization_ratio
4249,5347,1846,3262.47998,12.855256797008758,10.318729999999999
2558,9563,6678,12163.640625,13.430046928240285,10.680559999999998
3508,7426,977,2089.97998,12.177747566749417,9.945169999999996
7405,4638,9407,22499.740234,14.359173633559916,11.422194999999997
8521,4679,8480,22077.580078,15.313977126365742,12.198109999999998
5829,5759,9748,23700.21875,13.807158165069678,10.990675000000003
6990,4793,180,976.380005,6.176440083899506,5.244794999999999
6859,6652,2921,9345.759766,14.260343510310598,11.358759999999997
592,2215,2672,324.160004,10.808675088737967,8.757010000000001
5811,1071,7678,3436.600098,13.904630610296863,11.19072
5981,1066,7602,3623.859863,13.374805573159106,10.804529999999998
1155,667,7851,571.039978,10.591714885152927,8.867210000000002
2995,7805,8039,14658.179688,12.820109114833768,10.248349999999995
9012,6809,5018,21883.740234,14.07063259988795,11.229795000000003
6270,8449,4054,15193.0,14.13556127295465,11.281925
1793,5049,1508,1150.699951,11.863829788239904,9.689479999999998
9998,6537,8930,41761.222656,13.975580983047358,11.149744999999998
8105,2067,4398,5383.619629,13.685931214959542,11.018914999999998
9392,7722,1010,5939.960449,12.331778110127278,9.939509999999997
3025,6831,6476,9623.239258,13.905775728142038,11.125505000000002
3124,3683,4121,3503.280029,13.534446672689892,10.869725
3126,7389,5006,8319.44043,13.898610015529613,11.108575000000002
6161,8626,3064,11490.5,14.17132625246943,11.337824999999999
8441,1697,1717,1967.920044,12.49794440784709,10.13155
7368,3821,8986,19068.800781,13.266907086263714,10.557304999999998
4626,2585,4835,5314.47998,10.879323201439549,8.768365
8292,5475,1560,5346.419922,13.246616059575576,10.625974999999999
5873,9756,2450,10168.040039,13.80576984960474,11.066785000000005
7787,2508,6754,10161.599609,12.980657303912475,10.361755000000002
1663,2098,9310,2455.959961,13.225927317957607,10.610035000000002
2526,5387,3485,3628.099854,13.07085126604677,10.444625
7160,4107,7839,16233.219727,14.200175846606404,11.326490000000005
3262,8445,2005,4162.040039,13.27063589788786,10.633859999999999
8180,1638,8411,8019.139648,14.053582826445371,11.244669999999998
5337,7006,9843,27664.199219,13.303830941660774,10.584630000000002
2694,9770,6469,12679.640625,13.428341011833684,10.789874999999997
1890,7423,6488,6301.060059,14.445696518951397,11.564969999999999
5707,1371,1291,868.940002,11.624700674097864,9.388909999999997
7584,8487,2186,10659.700195,13.19950648837174,10.562864999999997
8877,6633,1297,6000.879883,12.726273707518567,10.265545000000003
6849,1244,4975,3474.719971,12.19890421494918,9.769289999999998
8586,5245,7965,28815.039062,12.448096435969356,9.900429999999997
2047,6060,8707,7596.659668,14.217928992524664,11.322935000000003
6725,8999,6994,30858.560547,13.716285136026826,10.947559999999998
6814,1228,9605,6270.080078,12.81813312751761,10.287215000000002
782,9786,8747,5579.419922,11.997259209700331,9.748209999999998
1427,5076,1430,880.460022,11.764459602005644,9.629164999999999
2262,2010,5815,2051.959961,12.884557107593581,10.34675
3076,8649,4381,8610.360352,13.536430379121954,10.857225
2068,4920,9878,7140.399902,14.07544466127858,11.345935000000003
4343,3318,4591,4686.0,14.117936349551854,11.247579999999997
712,7234,8312,3358.700195,12.746554086528107,10.350090000000002
8254,7793,4732,23647.417969,12.871529285058411,10.237585000000001
6178,3744,6151,9320.400391,15.264932971053948,12.218705
8393,8423,8580,45573.121094,13.309524475378913,10.597219999999998
1249,2430,720,218.259995,10.01214354467478,8.134540000000001
8416,7565,6640,29210.0,14.472754043135913,11.502889999999999
4150,6083,6668,11986.260742,14.043578412254098,11.230625000000002
4925,9776,4949,16393.880859,14.534600760453165,11.592079999999997
2515,4592,8883,7012.620117,14.629154200340095,11.69259
2300,8388,4295,5912.97998,14.01338382343043,11.18727
4723,2798,2525,2586.419922,12.901137424041229,10.295270000000004
7339,3576,2257,4256.120117,13.917206803306014,11.169719999999996
5015,6675,9185,21916.580078,14.02906028361785,11.229325000000005
6415,3072,1381,1702.319946,15.987124714098837,12.821820000000002
1442,4866,621,431.140015,10.106729276798859,8.273329999999998
7797,9850,5919,32675.0,13.912222296863044,11.052335000000005
5883,4883,743,1874.0,11.389503696371397,9.217180000000004
7217,5605,3962,11455.380859,13.990629656288059,11.162520000000002
5148,2011,4267,3287.379883,13.437651031582952,10.751695000000002
9151,8660,9517,58387.242188,12.91720505982395,10.268315000000001
4392,4917,9092,13861.519531,14.16482213576156,11.340335000000005
8011,4266,6791,16399.199219,14.152027752496078,11.29918
1971,3454,8933,4690.439941,12.965602776492306,10.407994999999996
9820,577,1720,893.799988,10.90373789532877,9.02245
2570,7983,6866,10566.060547,13.331835818411577,10.697209999999998
5208,554,1997,530.5,10.861090111215834,8.953525000000003
1230,8663,9527,7947.800293,12.772698040665274,10.217100000000002
6819,3117,6019,9150.740234,13.980593522003806,11.203895
1417,9684,3808,3690.560059,14.158892793675031,11.434259999999998
6822,8326,8801,36350.578125,13.75209362153714,10.983340000000002
1675,6007,7677,5669.759766,13.623833462611648,10.949249999999996
7681,9191,9639,57069.820312,11.923561781846319,9.50567
9512,3348,6778,15445.94043,13.974764560709884,11.188234999999999
530,6936,7198,2200.540039,12.02451369711251,10.07126
627,2098,8462,987.119995,11.276546021134948,9.228955
3486,8064,3300,5658.580078,16.393979040902423,13.102280000000002
7875,5275,998,3445.820068,12.031256110845773,9.708924999999995
8268,5793,3355,11570.379883,13.888294044355536,11.097944999999998
8852,3451,7109,15628.0,13.89605345968774,11.082800000000004
6089,1695,1250,1079.800049,11.94764601274805,9.70142
2915,4066,2384,2070.280029,13.648442415612944,10.944340000000004
3132,8206,8947,16831.779297,13.66157200415435,10.907345000000001
4344,1078,5668,2029.5,13.07824182113821,10.592450000000001
9686,1316,2532,2629.100098,12.276001532445266,9.969265
7292,4701,1107,3060.419922,12.399481120617276,10.000774999999999
2305,7461,9567,12114.219727,13.58151748463824,10.943220000000002
9890,9381,4841,32197.880859,13.94932590926884,11.125825
3322,3110,6745,5184.47998,13.441160573253866,10.759080000000003
5667,1750,2424,1818.420044,13.219945567208013,10.64205
6891,7066,6440,21980.919922,14.265791957421788,11.362039999999995
3013,4357,9169,8457.519531,14.231990820453714,11.436284999999998
6272,7349,3291,10898.800781,13.918212571831392,11.087839999999998
1498,5767,2883,1936.160034,12.863677867859552,10.379224999999998
867,5646,4355,1682.420044,12.671081865688947,10.296785
7820,6079,9282,32440.660156,13.601624376265667,10.844335000000003
7243,5218,2399,7204.240234,12.585330400018973,10.040075000000003
6656,1738,9112,7677.379883,13.72978593509569,10.971630000000001
3877,2075,6467,3838.780273,13.552627716392351,10.932640000000001
8954,7284,8789,40539.699219,14.139887999843424,11.246000000000004
1559,7411,3060,2674.919922,13.217020685077538,10.68609
1445,9085,4535,4456.700195,13.358467873112113,10.77234
4873,8809,4380,13642.639648,13.781570906445744,11.001834999999998
2631,3295,8113,5121.200195,13.733650454373613,10.983455000000001
3141,5666,6093,7858.5,13.798631832792518,11.06066
5828,8568,3416,11670.919922,14.615435938555317,11.66888
6877,2468,9488,10963.200195,14.688637432840386,11.767655000000001
9446,4944,6842,21059.71875,15.172491617818968,12.061269999999997
2825,7788,5911,10238.160156,12.702331289844691,10.175694999999996
7510,737,2828,1283.599976,12.194307146045007,9.94831
5829,2374,1848,1936.859985,13.203178962882026,10.615450000000001
7936,3492,5358,10458.680664,14.197167316437723,11.330910000000001
3576,4848,6264,7133.359863,15.223613045974828,12.10708
8160,6278,3554,13065.479492,13.934889877671852,11.141190000000003
2368,9190,4130,6590.419922,13.637481475190283,10.902225000000005
4131,3486,7300,7477.560547,14.058710877597123,11.283610000000003
3765,2631,6539,5669.939941,11.424013492032861,9.171090000000001
2648,6896,6715,8351.020508,14.683233336875912,11.698285
5275,8299,4934,15494.320312,13.940387432336438,11.129565000000001
6911,1990,9566,9422.339844,13.962577015705442,11.163245000000003
5458,8836,9023,33403.378906,13.027161463172728,10.388015
1397,6306,4587,3008.979736,13.42950018922959,10.785079999999999
6637,1254,8961,6324.380371,11.79255334166554,9.463545000000002
3887,1286,678,335.480011,10.10226029830433,8.355414999999997
6272,9540,4938,21103.0,14.00107271193669,11.141040000000002
2182,7854,1045,1558.920044,11.487832444599704,9.36996
3478,6130,4039,6223.379883,13.836861493097448,11.104759999999999
9370,9817,9121,65708.78125,12.768427813291696,10.166395000000001
4926,6411,8811,20500.558594,13.573120067442394,10.820550000000004
7099,9221,3181,14851.679688,14.0204932690035,11.179689999999997
2112,5814,5027,4492.659668,13.739606847068211,11.00201
4900,3107,9930,10999.320312,13.74424007227693,11.040515
5217,5119,8615,19791.820312,11.624532838220322,9.252400000000002
1155,6542,6598,3844.120117,12.969041669516592,10.591404999999998
6955,609,2895,1161.47998,10.557261197907174,8.64824
3776,3408,5394,4829.680176,14.372229427723497,11.476475000000004
3295,7450,9194,16799.220703,13.434671613052622,10.697744999999996
6786,4247,4050,8446.879883,13.818306489110993,11.105640000000001
2323,9024,583,872.719971,14.003672222598878,11.553279999999999
1223,3102,2905,939.099976,11.735525941489321,9.505440000000002
2570,970,7670,1588.040039,12.040340627708819,9.762384999999997
2328,9567,1393,2459.780029,12.612860581932953,10.201924999999997
2507,9074,2749,4643.080078,13.468575801289465,10.747230000000005
9908,6387,7613,37700.941406,12.778696307868,10.168300000000004
609,6666,4141,1404.380005,11.970249287335873,9.79894
4775,6732,3606,8255.200195,14.041567625483854,11.23393
9253,5681,6905,25763.359375,14.088622833760397,11.2458
8093,9275,512,2948.600098,13.033994818784679,10.363474999999998
6902,4016,3797,7244.540039,14.527752726524753,11.605414999999994
9878,6389,9379,45885.378906,12.899834054559829,10.276800000000001
7323,1731,2390,2327.959961,13.013930899819286,10.522755000000004
3626,8650,9447,23034.939453,12.863251101856498,10.266065000000001
4188,8495,7360,15997.859375,16.36763741086454,13.011029999999998
6705,6669,3220,10456.060547,13.770423024311128,11.035255000000003
1397,7600,6867,5007.260254,14.560519865480913,11.672035
2269,1067,8073,1573.420044,12.42193319802401,10.046710000000003
4862,6758,6137,13911.339844,14.495069598847477,11.520249999999999
9889,9107,2678,17695.820312,13.629112815439848,10.897305000000001
6667,9408,1177,4724.97998,15.62443256574391,12.553379999999997
2694,7962,6565,10536.660156,13.364463286766748,10.73807
5308,9985,7411,29005.199219,13.541910648995083,10.80564
2458,8423,1707,2784.339844,12.692873685716648,10.19359
3772,3735,2872,2977.879883,13.587499774919564,10.900029999999997
8678,5395,9002,30855.560547,13.658929481382465,10.89847
4946,7350,8599,22398.300781,13.956429550458225,11.143080000000003
8261,8745,1314,7457.799805,12.72849569739825,10.2522
4150,2381,6145,4351.660156,13.95321890342946,11.191640000000003
6683,9680,9392,45153.761719,13.4558446815814,10.698655000000002
6224,7506,3814,12818.639648,13.90006700467628,11.08581
7372,5865,9110,27891.080078,14.12233103553029,11.238414999999998
5668,4080,596,1094.339966,12.594589129718397,10.306614999999999
5548,5243,1412,3266.600098,12.573466704157308,10.132815000000003
3618,3656,1786,1721.0,13.726990521789656,11.031495000000003
1194,7613,7870,5470.97998,13.07584498600194,10.531045000000002
3218,7592,5958,10333.759766,14.085892738373921,11.316224999999998
8442,7014,5730,24091.279297,14.083346635819792,11.214589999999998
3874,4038,7751,8734.540039,13.881731112412615,11.13828
9394,9291,6496,38693.78125,14.652706819238556,11.658320000000003
9003,8734,8675,51314.476562,13.293214664789975,10.586599999999997
8288,8189,8773,44036.699219,13.521160997441378,10.741779999999999
3143,1138,733,259.480011,10.103845810304055,8.242865000000002
7964,1212,3211,2388.600098,12.975698055924639,10.456255000000002
4358,9559,2008,6218.220215,13.452323347155692,10.802885000000002
9237,9319,5361,32784.199219,14.076072091934902,11.224280000000002
9706,1730,1106,1547.52002,12.000663022117156,9.794845
7976,6699,2932,11384.379883,13.760990969911049,10.998745000000003
2639,5912,4527,4986.300293,14.164651061058747,11.30414
3325,5098,811,1202.640015,11.43080155203384,9.163685000000001
8785,1221,7759,6743.139648,12.34244008867366,9.952489999999996
2538,7199,7516,9873.419922,13.908585178881244,11.088854999999997
1751,4804,5119,3147.639893,13.680098785048662,10.967494999999998
5454,5542,8079,17473.259766,13.975434843998874,11.142179999999998
8876,7563,4500,21704.640625,13.917822977085113,11.115685000000001
8752,1095,4582,3295.719971,13.323741842871515,10.752685000000001
815,975,1005,102.760002,7.771488025078084,6.386739999999998
814,3664,4674,1148.02002,12.142807669852308,9.842944999999997
