M,N,K,time_us,Tflops,utilization_ratio
4168,3567,9713,10590.379883,13.635550294074374,10.866310000000002
1573,5782,3963,2903.040039,12.415890009707164,10.029935000000002
4031,4626,8624,11800.020508,13.628385580768517,10.890585000000002
3414,9794,8332,22014.660156,12.654963362496886,10.101770000000002
5622,1195,3552,1743.920044,13.68375010202016,11.02872
2399,887,7052,1485.579956,10.101134183584797,8.116724999999995
8178,5740,5671,19618.720703,13.569003715889231,10.799859999999997
9065,785,5994,3609.740234,11.81621144043796,9.728885
5268,9468,8834,35129.160156,12.542775337051243,10.011559999999998
9210,4820,3060,9980.419922,13.610662984286403,10.867859999999999
6443,3547,8551,14518.040039,13.460408384743676,10.732365
4728,4062,6539,9137.900391,13.743023991341296,10.942715
3158,6276,2469,3884.060059,12.598829937917804,10.125155
8198,1091,4754,3234.979736,13.143779881779144,10.68073
1682,3119,1476,720.299988,10.750144852147352,8.809859999999997
4577,8503,1529,4789.919922,12.423167019074855,9.945745
4720,5248,1277,2470.320068,12.80482052902952,10.172504999999997
4610,8787,6992,20548.28125,13.78375261629242,11.022534999999998
5235,2012,5306,4231.120117,13.208592848842535,10.545255000000001
965,6368,7288,3666.140137,12.216018178903564,9.874194999999997
1977,8967,6727,9522.5,12.523458628826463,10.053980000000003
6749,1078,8643,4779.52002,13.15644083147914,10.644965
7887,9915,1986,12156.700195,12.775211450379937,10.251410000000002
9490,4518,5166,16555.878906,13.378721080143178,10.688450000000001
8081,7624,6526,29929.861328,13.433536485110976,10.702915
4960,9836,1400,4679.139648,14.596953529522013,11.646640000000001
5558,4352,9717,17431.359375,13.483678077860752,10.729419999999994
3568,1346,6655,2456.280029,13.011881162837886,10.476214999999996
2164,9495,6369,10030.279297,13.046993562695805,10.445130000000002
9458,1776,1149,1631.939941,11.826551521358958,9.42354
4575,2591,9096,10774.780273,10.006922597780198,7.995475000000001
5099,1277,920,595.280029,10.06334643892446,8.114649999999997
2659,7783,8793,14473.639648,12.57258803221242,10.044110000000002
6316,2852,1981,2798.120117,12.75292378450814,10.225919999999999
3390,4908,5251,6595.779785,13.245858862463523,10.601805
8065,8664,2730,14475.100586,13.17843600924598,10.526040000000004
7962,6251,8498,31579.300781,13.39324733657408,10.665015000000002
5675,3343,2014,3025.020264,12.630874511721947,10.119765
5403,1778,3150,2418.340088,12.51295558062965,10.054159999999998
2984,7663,6578,11730.140625,12.822960217154257,10.249555000000003
2946,4094,5949,5460.039551,13.141010464449655,10.525620000000002
7059,8368,8108,37480.398438,12.77833867450094,10.182084999999999
9097,852,7144,4643.0,11.925608601335343,9.66914
2239,7244,7716,9618.919922,13.01063355042244,10.388550000000004
1441,9060,4329,4434.200195,12.745722758239152,10.320515
9437,2997,7627,16061.859375,13.43008078745553,10.735639999999998
9422,3484,1864,4780.459961,12.799631577543925,10.283539999999999
6422,5170,1720,4691.160156,12.173319797440742,9.767149999999999
9554,4838,9596,32592.960938,13.608727695398436,10.832504999999996
4685,5011,5203,9241.160156,13.217865456610749,10.584224999999996
7586,2886,4545,7590.599609,13.108921685451529,10.531155
5007,1684,6186,3996.639893,13.05072309850959,10.54919
4240,3585,9714,10801.280273,13.670294804690695,10.980755000000002
7021,8620,4729,21430.599609,13.354918145164996,10.621194999999998
2536,7163,6322,8341.959961,13.7667235317482,10.981820000000004
3536,1937,9816,4833.640137,13.909198741825985,11.219934999999996
5273,1500,1126,809.940002,10.995995972551063,8.901640000000002
7069,1217,4453,2979.639893,12.856935785763424,10.425835000000001
6238,7472,5342,18428.099609,13.511562244345365,10.74359
2884,1777,9231,3797.619873,12.45718584009527,10.025929999999994
7142,7696,3227,13618.219727,13.024574167527675,10.387140000000002
4759,8334,6208,15815.360352,15.568322426296366,12.41807
7310,8521,1166,5991.540039,12.121825471790023,9.716544999999998
4852,8256,1139,3695.52002,12.346351615218687,9.927829999999998
8022,3461,8663,17991.140625,13.368844541839604,10.708760000000002
2172,1735,4469,1339.040039,12.576971927274835,10.096879999999997
9387,8486,5196,31257.757812,13.241621378008775,10.556150000000002
7084,6910,2584,9272.240234,13.641572453675922,10.885280000000005
3921,5356,8638,13941.519531,13.011893465746779,10.372995
7843,5916,3267,11535.139648,13.141249418881765,10.537514999999994
3958,4830,2686,3858.780273,13.306960854777854,10.591235
9642,5462,5671,22160.279297,13.477310699979848,10.744705000000002
4952,7944,5871,16995.960938,13.588960229463668,10.830565000000004
7865,3836,3783,8927.519531,12.784473808618543,10.201200000000004
5378,4889,8910,17276.060547,13.560441258159477,10.858774999999998
3168,9947,1469,3275.719971,14.131631956888052,11.2459
7129,4634,5493,13535.480469,13.406659107048798,10.703775000000002
1774,8762,8851,10941.219727,12.574289797735638,10.021555
2027,7912,6555,8108.860352,12.964414326616337,10.335535
6345,3594,9572,16272.0,13.414406216814157,10.730455
9546,3046,8507,18486.179688,13.380754162666125,10.662189999999997
6370,4853,5936,13065.759766,14.044586173818681,11.183160000000006
2819,5191,2250,2672.540039,12.319821132528222,9.949679999999997
3886,9317,5327,14827.259766,13.007705396533348,10.369554999999997
2776,3873,4637,3817.080078,13.060890355258614,10.481285
