---- INT8 -- RowMajor -- EpilogueGemm ---- 

  M : 15296 , N : 11456 

===========================================================
errorCnt: 15228
Total Count: 15296
Accuracy: 0.44%
===========================================================
Errors at the following indices and values:
Index: 0, Expected: 1766, Got: 4
Index: 1, Expected: -66, Got: 3
Index: 2, Expected: -1461, Got: 3
Index: 3, Expected: 1146, Got: -3
Index: 4, Expected: -2090, Got: -4
Index: 5, Expected: -1642, Got: 1
Index: 6, Expected: 1175, Got: 1
Index: 7, Expected: -606, Got: 3
Index: 8, Expected: 678, Got: 0
Index: 9, Expected: 3201, Got: 0
Index: 10, Expected: -4149, Got: -3
Index: 11, Expected: -475, Got: 4
Index: 12, Expected: -2031, Got: -3
Index: 13, Expected: -3609, Got: -3
Index: 14, Expected: -3224, Got: 2
Index: 15, Expected: 378, Got: -3
Index: 16, Expected: -1494, Got: 0
Index: 17, Expected: 418, Got: 2
Index: 18, Expected: -1459, Got: 4
Index: 19, Expected: -1381, Got: 1
Index: 20, Expected: -206, Got: -4
Index: 21, Expected: -2715, Got: -3
Index: 22, Expected: -94, Got: 4
Index: 23, Expected: 3730, Got: 2
Index: 24, Expected: 2189, Got: 1
Index: 25, Expected: 2888, Got: 1
Index: 26, Expected: -630, Got: 3
Index: 27, Expected: -314, Got: -1
Index: 28, Expected: -543, Got: 0
Index: 29, Expected: -1461, Got: 0
Index: 30, Expected: -346, Got: -2
Index: 31, Expected: -292, Got: 1
Index: 32, Expected: 684, Got: 0
Index: 33, Expected: -954, Got: -3
Index: 34, Expected: -3821, Got: -4
Index: 35, Expected: -405, Got: -3
Index: 36, Expected: 102, Got: -3
Index: 37, Expected: 646, Got: 2
Index: 38, Expected: 2989, Got: 2
Index: 39, Expected: 4064, Got: 4
Index: 40, Expected: -2159, Got: 2
Index: 41, Expected: -1963, Got: 4
Index: 42, Expected: 1838, Got: 4
Index: 43, Expected: -1859, Got: 2
Index: 44, Expected: -3587, Got: -1
Index: 45, Expected: -3748, Got: 4
Index: 46, Expected: 981, Got: 0
Index: 47, Expected: -1723, Got: 4
Index: 48, Expected: -664, Got: -2
Index: 49, Expected: -2112, Got: 0
Index: 50, Expected: -980, Got: 2
Index: 51, Expected: -661, Got: 4
Index: 52, Expected: 1113, Got: 3
Index: 53, Expected: -1030, Got: 1
Index: 54, Expected: 2486, Got: 1
Index: 55, Expected: -2875, Got: -2
Index: 56, Expected: -1717, Got: 4
Index: 57, Expected: 497, Got: -2
Index: 58, Expected: 132, Got: 0
Index: 59, Expected: 753, Got: 3
Index: 60, Expected: 2803, Got: 2
Index: 61, Expected: -1024, Got: 4
Index: 62, Expected: 117, Got: 3
Index: 63, Expected: 1303, Got: 2
Index: 64, Expected: -472, Got: 1
Index: 65, Expected: 240, Got: 3
Index: 66, Expected: -1358, Got: -1
Index: 67, Expected: 38, Got: -2
Index: 68, Expected: -51, Got: 0
Index: 69, Expected: 626, Got: 4
Index: 70, Expected: -1725, Got: -3
Index: 71, Expected: -1385, Got: -1
Index: 72, Expected: 1600, Got: -1
Index: 73, Expected: 344, Got: -2
Index: 74, Expected: -25, Got: 1
Index: 75, Expected: 956, Got: 1
Index: 76, Expected: 1776, Got: -3
Index: 77, Expected: 2170, Got: 2
Index: 78, Expected: -1939, Got: -2
Index: 79, Expected: 1340, Got: 4
Index: 80, Expected: -3954, Got: -3
Index: 81, Expected: -2091, Got: -3
Index: 82, Expected: -2421, Got: 3
Index: 83, Expected: -1932, Got: 0
Index: 84, Expected: -200, Got: 2
Index: 85, Expected: -673, Got: 4
Index: 86, Expected: 2944, Got: 2
Index: 87, Expected: 620, Got: -2
Index: 88, Expected: -2439, Got: 0
Index: 89, Expected: -295, Got: -2
Index: 90, Expected: -2142, Got: -3
Index: 91, Expected: 1309, Got: -4
Index: 92, Expected: -231, Got: 0
Index: 93, Expected: -3126, Got: -3
Index: 94, Expected: -2697, Got: 3
