instr,addr,pipe,call_count,cycles,running_time(us),detail
MOV_OUT_TO_UB,0x1168de04,MTE2,31,46551,24.389999,"Src:OUT,Dst:UB,XD:X20=0x10000,XN:X13=0x11553400,XM:X0=0x800200200,id:10"
SET_FLAG,0x1168dc20,MTE2,31,46310,24.260000,"PIPE:MTE2,TRIGGERPIPE:VEC,FLAGID:1,"
VAXPY,0x1168ddbc,VECTOR,1024,37888,20.459999,"XD:X4=0x28000,XN:X9=0,XM:X3=0xd181,XT:X16=0x800040800010001,Dtype:FMIX,Id:1008"
SET_FLAG,0x1168ddc0,VECTOR,1024,36864,19.910000,"PIPE:VEC,TRIGGERPIPE:SCALAR,FLAGID:0,"
WAIT_FLAG,0x1168dd90,SCALAR,1024,34157,18.450001,"PIPE:VEC,TRIGGERPIPE:SCALAR,FLAGID:0,"
MOVEMASK,0x1168ddb8,VECTOR,1024,16384,8.850000,"XN:X27=0xffffffffffffffff,Id:1007"
MOVEMASK,0x1168ddac,VECTOR,1024,16384,8.850000,"XN:X11=0,Id:1004"
LD_XD_XN,0x1168dd94,SCALAR,1024,11613,6.270000,"dtype:B16,XD:X3=0,XN:X5=0x20000,XM:X8=0x40000,#POST:0,"
SET_FLAG,0x1168dda0,SCALAR,1024,10589,5.720000,"PIPE:SCALAR,TRIGGERPIPE:VEC,FLAGID:0,"
MOV_OUT_TO_UB,0x1168d8b8,MTE2,31,10402,5.470000,"Src:OUT,Dst:UB,XD:X5=0x22000,XN:X13=0x11689640,XM:X6=0x20010,id:9"
SET_FLAG,0x1168d29c,MTE2,31,9921,5.220000,"PIPE:MTE2,TRIGGERPIPE:VEC,FLAGID:3,"
MADD,0x1168dd9c,SCALAR,1024,3072,1.660000,"dtype:S64,XD:X9=0,XN:X15=0x400,XM:X18=0,"
BAR,0x1168dd38,VECTOR,32,2748,1.470000,"PIPE:VEC"
MOV_OUT_TO_UB,0x1168de44,MTE2,1,2064,0.000000,"Src:OUT,Dst:UB,XD:X0=0,XN:X2=0x11549400,XM:X1=0x800200200,id:8"
SET_FLAG,0x1168cf20,MTE2,1,2063,0.000000,"PIPE:MTE2,TRIGGERPIPE:VEC,FLAGID:0,"
WAIT_FLAG,0x1168dcc8,VECTOR,32,1721,0.930000,"PIPE:MTE2,TRIGGERPIPE:VEC,FLAGID:0,"
ST_XD_XN_IMM,0x1168cfe8,SCALAR,32,1184,0.620000,"dtype:B32,XD:X14=0x1,XN:X30=0x1c7c20,IMM:0xc5c,"
STP_XI_XJ_XN,0x1168d05c,SCALAR,32,1184,0.620000,"dtype:B32,XI:X16=0x200,XJ:X2=0x20,XN:X3=0x1c7880,IMM:0,"
STP_XI_XJ_XN,0x1168d068,SCALAR,32,1152,0.600000,"dtype:B32,XI:X2=0x20,XJ:X16=0x200,XN:X3=0x1c7888,IMM:0,"
MOV_XD_XN,0x1168dd98,SCALAR,1024,1024,0.550000,"dtype:S64,XD:X9=0,XN:X1=0,"
ZEROEXT,0x1168dda8,SCALAR,1024,1024,0.550000,"dtype:U32,XD:X9=0,XN:X9=0,"
ADD_IMM,0x1168ddb4,SCALAR,1024,1024,0.550000,"dtype:S64,XD:X5=0x20002,XN:X5=0x20000,IMM:0x2,"
ADD_IMM,0x1168ddb0,SCALAR,1024,1024,0.550000,"dtype:S64,XD:X18=0x1,XN:X18=0,IMM:0x1,"
VADD,0x1168cfbc,VECTOR,32,928,0.490000,"XD:X0=0x24000,XN:X1=0,XM:X0=0x24000,XT:X2=0x400080808010101,Dtype:F16,Id:1593"
SET_FLAG,0x1168cfec,VECTOR,32,896,0.470000,"PIPE:VEC,TRIGGERPIPE:MTE2,FLAGID:0,"
WAIT_FLAG,0x1168cf74,SCALAR,32,864,0.450000,"PIPE:VEC,TRIGGERPIPE:SCALAR,FLAGID:0,"
SET_FLAG,0x1168cff4,VECTOR,32,864,0.450000,"PIPE:VEC,TRIGGERPIPE:MTE2,FLAGID:2,"
VMULS,0x1168dc9c,VECTOR,32,736,0.390000,"XD:X0=0x20000,XN:X0=0x20000,XM:X31=0xada9,XT:X2=0x100080800010001,Dtype:F16,Id:936"
VCONV,0x1168cfa0,VECTOR,32,736,0.390000,"XD:X1=0,XN:X4=0x28000,XT:X3=0x800080400010001,Conv_type:F32_F16R,Id:1586"
