instr,addr,pipe,call_count,cycles,running_time(us),detail
ST_XD_XN_IMM,0x1168b10c,SCALAR,1,490,0.000000,"dtype:B64,XD:X5=0x1779b8,XN:X4=0x170000,IMM:0,"
LD_XD_XN_IMM,0x1168b030,SCALAR,1,373,0.000000,"dtype:B64,XD:X1=0,XN:X0=0x106b7e00,IMM:0x8,"
ST_XD_XN_IMM,0x1168b1b0,SCALAR,1,305,0.000000,"dtype:B64,XD:X3=0x177ab8,XN:X30=0x178140,IMM:0xdc0,"
STI_XN_IMM,0x1168b064,SCALAR,1,300,0.000000,"dtype:B64,XN:X30=0x178140,IMM:0x878,#POST:0,#IMM_TYPE:ZERO,"
ST_XD_XN_IMM,0x1168b1a8,SCALAR,1,298,0.000000,"dtype:B64,XD:X7=0xffffffff00010000,XN:X30=0x178140,IMM:0x980,"
STI_XN_IMM,0x1168b05c,SCALAR,1,294,0.000000,"dtype:B32,XN:X30=0x178140,IMM:0x944,#POST:0,#IMM_TYPE:ZERO,"
STP_XI_XJ_XN,0x1168b060,SCALAR,1,294,0.000000,"dtype:B64,XI:X2=0,XJ:X2=0,XN:X3=0x177a88,IMM:0,"
ST_XD_XN_IMM,0x1168b234,SCALAR,1,293,0.000000,"dtype:B64,XD:X6=0xffffffff00030000,XN:X30=0x178140,IMM:0x9a0,"
ST_XD_XN_IMM,0x1168b050,SCALAR,1,293,0.000000,"dtype:B32,XD:X3=0x7ff80,XN:X30=0x178140,IMM:0xd80,"
ST_XD_XN_IMM,0x1168b1cc,SCALAR,1,291,0.000000,"dtype:B8,XD:X4=0x4,XN:X30=0x178140,IMM:0xdc8,"
STI_XN_IMM,0x1168b0c4,SCALAR,1,290,0.000000,"dtype:B32,XN:X30=0x178140,IMM:0xd58,#POST:0,#IMM_TYPE:ALL_ONE,"
STI_XN_IMM,0x1168b0c8,SCALAR,1,290,0.000000,"dtype:B32,XN:X30=0x178140,IMM:0xd60,#POST:0,#IMM_TYPE:ALL_ONE,"
STI_XN_IMM,0x1168b0cc,SCALAR,1,290,0.000000,"dtype:B32,XN:X30=0x178140,IMM:0xd5c,#POST:0,#IMM_TYPE:ALL_ONE,"
ST_XD_XN_IMM,0x1168b1f4,SCALAR,1,285,0.000000,"dtype:B8,XD:X0=0x7,XN:X30=0x178140,IMM:0xde0,"
STP_XI_XJ_XN,0x1168b1f0,SCALAR,1,285,0.000000,"dtype:B32,XI:X5=0x20000,XJ:X3=0,XN:X6=0x177f10,IMM:0,"
STP_XI_XJ_XN,0x1168b06c,SCALAR,1,282,0.000000,"dtype:B64,XI:X2=0,XJ:X2=0,XN:X3=0x1779c0,IMM:0,"
STI_XN_IMM,0x1168b054,SCALAR,1,282,0.000000,"dtype:B64,XN:X30=0x178140,IMM:0x938,#POST:0,#IMM_TYPE:ZERO,"
STI_XN_IMM,0x1168b1d0,SCALAR,1,281,0.000000,"dtype:B8,XN:X30=0x178140,IMM:0x988,#POST:0,#IMM_TYPE:ZERO,"
STP_XI_XJ_XN,0x1168b088,SCALAR,1,281,0.000000,"dtype:B64,XI:X2=0,XJ:X2=0,XN:X4=0x1779f8,IMM:0,"
STI_XN_IMM,0x1168b1d4,SCALAR,1,281,0.000000,"dtype:B16,XN:X30=0x178140,IMM:0x98a,#POST:0,#IMM_TYPE:ALL_ONE,"
STP_XI_XJ_XN,0x1168b080,SCALAR,1,281,0.000000,"dtype:B64,XI:X2=0,XJ:X2=0,XN:X4=0x1779f8,IMM:0x30,"
STP_XI_XJ_XN,0x1168b07c,SCALAR,1,281,0.000000,"dtype:B64,XI:X2=0,XJ:X2=0,XN:X3=0x1779d8,IMM:0,"
ST_XD_XN_IMM,0x1168b1ec,SCALAR,1,279,0.000000,"dtype:B64,XD:X7=0xffffffff00020000,XN:X30=0x178140,IMM:0x990,"
ST_XD_XN_IMM,0x1168b1e8,SCALAR,1,279,0.000000,"dtype:B32,XD:X3=0,XN:X30=0x178140,IMM:0x98c,"
ST_XD_XN_IMM,0x1168b208,SCALAR,1,279,0.000000,"dtype:B64,XD:X4=0x177ac8,XN:X30=0x178140,IMM:0xdd8,"
STP_XI_XJ_XN,0x1168b238,SCALAR,1,271,0.000000,"dtype:B32,XI:X3=0x30000,XJ:X0=0,XN:X5=0x177f28,IMM:0,"
STP_XI_XJ_XN,0x1168b178,SCALAR,1,270,0.000000,"dtype:B32,XI:X5=0x10000,XJ:X3=0,XN:X6=0x177ee0,IMM:0,"
STI_XN_IMM,0x1168b210,SCALAR,1,270,0.000000,"dtype:B16,XN:X30=0x178140,IMM:0x99a,#POST:0,#IMM_TYPE:ALL_ONE,"
STI_XN_IMM,0x1168b20c,SCALAR,1,270,0.000000,"dtype:B8,XN:X30=0x178140,IMM:0x998,#POST:0,#IMM_TYPE:ZERO,"
ST_XD_XN_IMM,0x1168b254,SCALAR,1,269,0.000000,"dtype:B8,XD:X6=0x9,XN:X30=0x178140,IMM:0xdf8,"
ST_XD_XN_IMM,0x1168b250,SCALAR,1,269,0.000000,"dtype:B64,XD:X4=0x177ad8,XN:X30=0x178140,IMM:0xdf0,"
STP_XI_XJ_XN,0x1168b0a8,SCALAR,1,268,0.000000,"dtype:B64,XI:X2=0,XJ:X2=0,XN:X4=0x177a48,IMM:0,"
STP_XI_XJ_XN,0x1168b08c,SCALAR,1,268,0.000000,"dtype:B64,XI:X2=0,XJ:X2=0,XN:X3=0x177a18,IMM:0x30,"
STP_XI_XJ_XN,0x1168b0a0,SCALAR,1,268,0.000000,"dtype:B64,XI:X2=0,XJ:X2=0,XN:X4=0x177a48,IMM:0x30,"
ST_XD_XN_IMM,0x1168b230,SCALAR,1,266,0.000000,"dtype:B32,XD:X0=0,XN:X30=0x178140,IMM:0x99c,"
STP_XI_XJ_XN,0x1168b090,SCALAR,1,266,0.000000,"dtype:B64,XI:X2=0,XJ:X2=0,XN:X3=0x177a18,IMM:0,"
STP_XI_XJ_XN,0x1168b09c,SCALAR,1,266,0.000000,"dtype:B64,XI:X2=0,XJ:X2=0,XN:X3=0x177a28,IMM:0,"
STP_XI_XJ_XN,0x1168b0ac,SCALAR,1,265,0.000000,"dtype:B64,XI:X2=0,XJ:X2=0,XN:X3=0x177a68,IMM:0x30,"
STP_XI_XJ_XN,0x1168b0b0,SCALAR,1,265,0.000000,"dtype:B64,XI:X2=0,XJ:X2=0,XN:X3=0x177a68,IMM:0,"
STI_XN_IMM,0x1168b15c,SCALAR,1,261,0.000000,"dtype:B16,XN:X30=0x178140,IMM:0x96a,#POST:0,#IMM_TYPE:ALL_ONE,"
ST_XD_XN_IMM,0x1168b164,SCALAR,1,261,0.000000,"dtype:B32,XD:X6=0x10000,XN:X30=0x178140,IMM:0x944,"
ST_XD_XN_IMM,0x1168b170,SCALAR,1,260,0.000000,"dtype:B32,XD:X3=0,XN:X30=0x178140,IMM:0x96c,"
ST_XD_XN_IMM,0x1168b0e8,SCALAR,1,260,0.000000,"dtype:B64,XD:X4=0x7,XN:X30=0x178140,IMM:0x890,"
