instr,addr,pipe,call_count,cycles,running_time(us),detail
MOV_OUT_TO_UB,0x1168de88,MTE2,31,29428,15.440000,"Src:OUT,Dst:UB,XD:X0=0x10000,XN:X2=0x11553800,XM:X1=0x18002000080200,id:13"
SET_FLAG,0x1168dca4,MTE2,31,29180,15.310000,"PIPE:MTE2,TRIGGERPIPE:VEC,FLAGID:1,"
VAXPY,0x1168de40,VECTOR,1024,28672,15.480000,"XD:X0=0x28000,XN:X9=0,XM:X3=0xcf11,XT:X17=0x200040800010001,Dtype:FMIX,Id:1101"
SET_FLAG,0x1168de44,VECTOR,1024,27648,14.930000,"PIPE:VEC,TRIGGERPIPE:SCALAR,FLAGID:0,"
WAIT_FLAG,0x1168de14,SCALAR,1024,24383,13.170000,"PIPE:VEC,TRIGGERPIPE:SCALAR,FLAGID:0,"
MOVEMASK,0x1168de3c,VECTOR,1024,16384,8.850000,"XN:X27=0xffffffffffffffff,Id:1100"
MOVEMASK,0x1168de30,VECTOR,1024,16384,8.850000,"XN:X11=0,Id:1097"
LD_XD_XN,0x1168de18,SCALAR,1024,12073,6.520000,"dtype:B16,XD:X3=0,XN:X5=0x20000,XM:X8=0x40000,#POST:0,"
MOV_OUT_TO_UB,0x1168d940,MTE2,31,11144,5.870000,"Src:OUT,Dst:UB,XD:X5=0x22000,XN:X17=0x11689640,XM:X6=0x20010,id:12"
SET_FLAG,0x1168de24,SCALAR,1024,11049,5.970000,"PIPE:SCALAR,TRIGGERPIPE:VEC,FLAGID:0,"
SET_FLAG,0x1168d328,MTE2,31,10633,5.610000,"PIPE:MTE2,TRIGGERPIPE:VEC,FLAGID:3,"
MADD,0x1168de20,SCALAR,1024,3072,1.660000,"dtype:S64,XD:X9=0,XN:X14=0x400,XM:X18=0,"
BAR,0x1168ddbc,VECTOR,32,1972,1.050000,"PIPE:VEC"
MOV_OUT_TO_UB,0x1168dec0,MTE2,1,1349,0.000000,"Src:OUT,Dst:UB,XD:X0=0,XN:X20=0x11549800,XM:X1=0x18002000080200,id:11"
SET_FLAG,0x1168cfa0,MTE2,1,1348,0.000000,"PIPE:MTE2,TRIGGERPIPE:VEC,FLAGID:0,"
STP_XI_XJ_XN,0x1168d0f0,SCALAR,32,1184,0.620000,"dtype:B32,XI:X1=0x20,XJ:X18=0x80,XN:X2=0x1cf888,IMM:0,"
STP_XI_XJ_XN,0x1168d0ec,SCALAR,32,1184,0.620000,"dtype:B32,XI:X18=0x80,XJ:X1=0x20,XN:X3=0x1cf880,IMM:0,"
ST_XD_XN_IMM,0x1168d068,SCALAR,32,1184,0.620000,"dtype:B32,XD:X16=0x1,XN:X30=0x1cfc18,IMM:0xc64,"
