M,N,time_us,Tflops,utilization_ratio
2591,2856,54.060001,0.13688301633586725,68.137985
3482,7673,79.300003,0.33691532142817193,56.442330000000005
9817,2089,64.419998,0.3183438937703785,55.05528999999998
1974,5521,41.220001,0.26439722793796144,51.190425
1980,1776,24.24,0.1450693069306931,62.341350000000006
2050,6983,50.34,0.2843692888359157,53.4433325
8599,1648,37.139999,0.3815603764555836,66.50210999999999
1178,8093,57.32,0.1663215980460572,54.20359500000001
9018,3718,96.959999,0.3458016124773268,58.43862000000002
2423,8830,61.880001,0.34575128723737414,56.82822999999998
8918,9735,226.580002,0.3831614848339528,58.81187250000001
6055,6833,115.660004,0.3577192942168669,57.74374
6731,9251,182.720001,0.3407863433625966,58.61107
5560,8351,139.919998,0.33184362967186437,58.29797249999999
9887,9400,213.380005,0.4355506505869657,67.15160749999998
6578,6992,94.82,0.4850598607888631,81.7159075
6973,4157,88.68,0.3268692038791159,55.72101000000001
1674,1903,19.84,0.160565625,37.059297499999985
7199,2077,49.639999,0.30121521557645475,53.102235
3938,9395,123.800003,0.29884902345277,57.212607500000004
1412,9935,68.919998,0.203543534635622,52.26915000000002
4131,524,25.780001,0.08396601691365334,45.9743025
4028,4619,65.800003,0.2827557925795231,53.905429999999996
2772,6467,67.599998,0.26518527411790754,54.37807249999999
5966,7606,124.940002,0.363193495066536,59.51540249999999
8689,9870,219.800003,0.390174835438924,60.764224999999996
3807,2210,48.880001,0.1721249964786212,67.5219325
2956,4857,53.060001,0.2705859730383345,53.178947499999985
8556,880,41.779999,0.18021254619943866,68.0089425
9939,1852,52.700001,0.3492794620630083,57.6871525
2486,9504,49.959999,0.47291722323693397,76.16860249999998
600,1317,15.2,0.051986842105263165,21.92645249999999
9110,2763,82.919998,0.3035568090582925,54.22570000000001
9938,8997,231.880005,0.38559679175442485,59.43864750000001
6152,8716,133.020004,0.4031035211816713,63.839337500000006
3222,6373,69.580002,0.29511074173294793,53.82451500000002
793,8725,32.459999,0.21315234790980736,34.13505500000001
8941,9748,206.380005,0.422312558815957,64.38721250000002
4472,4280,55.52,0.344743515850144,60.368557499999994
3658,2881,55.580002,0.18961312739787234,71.12574500000001
6486,4572,86.940002,0.3410857064392522,59.17695750000001
9132,9677,248.839996,0.3551292614552204,58.25439749999999
2221,4101,33.32,0.2733589735894358,50.838845
9664,4066,110.059998,0.3570218491190596,57.67103499999999
555,3933,27.280001,0.0800152096768618,30.480039999999992
2850,1053,29.459999,0.1018686388957447,51.571625
2122,9662,64.040001,0.32015558525678345,57.11163500000001
5197,4266,70.779999,0.31322975859324326,56.71678
4163,2651,42.439999,0.26004036899246863,51.656572499999996
1553,2952,38.580002,0.11882985387092514,61.361232499999986
4327,9457,125.040001,0.32725878657022717,57.87041499999999
1642,1111,22.379999,0.08151305100594507,44.235977500000004
768,7761,55.34,0.10770596313697144,37.68557500000001
8075,643,42.939999,0.12091814440889949,55.410282499999994
9601,2538,74.400002,0.3275179750667211,53.6901925
5846,2067,41.900002,0.2883933513893388,52.48461999999998
4239,3484,47.799999,0.30896812361858,56.421975
2525,3202,43.740002,0.1848433843235764,69.48722500000001
9817,2748,73.68,0.3661389250814332,59.56829000000001
3749,7723,81.540001,0.35508372142404065,56.98536000000002
6169,7939,132.399994,0.36990704848521366,58.54012500000001
9661,4502,116.519997,0.37327345622914837,59.4487325
514,1665,16.98,0.050401060070671376,21.9203725
4925,7963,106.540001,0.3681037603894897,57.93077500000001
2196,8382,58.080002,0.3169227163594106,56.39701000000002
3248,7224,66.860001,0.3509355616073054,62.41669500000001
9190,4730,123.900002,0.35083695963136463,59.751540000000006
3363,5030,52.740002,0.3207411709995764,55.7844375
9192,8487,216.979996,0.3595377704772379,59.441565
1971,5434,39.84,0.2688356927710843,53.4660575
9048,3056,62.580002,0.44184543170835944,72.79185
6802,6861,138.179993,0.3377371860193972,57.705907499999995
936,4023,27.459999,0.1371277544474783,50.27922749999999
3909,813,29.459999,0.1078756655762276,50.97249749999999
6897,3339,71.360001,0.3227169657691008,55.6640725
2447,8047,57.240002,0.34400783214507924,55.70812500000002
8273,5130,120.160004,0.3531998051531356,59.50901500000001
5040,8902,119.040001,0.37689919038223124,59.4238575
6660,6194,120.940002,0.341095082832891,59.41993750000001
9206,5977,155.300003,0.35430947158449183,58.76119999999999
6467,1793,40.419998,0.2868711423488937,51.90656249999998
4742,2872,38.580002,0.3530073430270947,60.57431500000002
2856,6949,70.879997,0.27999922178326275,55.1930825
7245,9557,190.300003,0.3638489958405308,58.556302500000015
8359,5296,88.239998,0.5016915798207521,80.92677
5668,1678,35.900002,0.26492767326308225,51.043682499999996
7042,6161,125.059998,0.3469195801522402,58.09167000000001
575,4554,35.279999,0.07422194087930672,26.77003
4403,2413,38.66,0.27481735644076566,50.889477500000005
5834,1373,50.080002,0.15994572044945204,63.174197500000005
5924,9646,151.880005,0.3762371748670932,60.532442499999995
4906,6915,94.860001,0.35763219104330396,57.54423999999999
682,542,11.72,0.031539590443686004,17.056285000000003
8935,661,43.599998,0.13545952456236351,50.70713249999999
6239,3700,63.66,0.3626185988061577,59.352767500000006
9538,5851,158.059998,0.3530737612688063,57.528847500000005
877,2100,12.74,0.14456043956043954,27.661079999999995
5699,2042,39.220001,0.2967199822355945,52.5841125
6343,6379,110.940002,0.36471963467244206,56.36634249999999
1705,8694,57.02,0.25996615222728864,55.547999999999995
870,4116,33.880001,0.10569421175636919,39.47466
