block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,cube0,1.010556,1819,11,0,6,0,6,1,100.000000,92.307693,95.833336,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
0,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,386.785004,696213,24,4,9525,60203,9731,60112,85.714287,13.796562,13.810987,
0,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,387.820557,698077,28,0,69842,0,69729,0,100.000000,100.000000,100.000000,
1,cube0,1.115556,2008,11,0,7,0,6,0,100.000000,100.000000,100.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
1,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,388.232788,698819,24,4,15448,54314,15529,54280,85.714287,22.194439,22.207180,
1,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,388.587219,699457,28,0,69809,0,69762,0,100.000000,100.000000,100.000000,
2,cube0,0.895000,1611,11,0,7,0,6,0,100.000000,100.000000,100.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,388.647766,699566,28,0,69840,0,69731,0,100.000000,100.000000,100.000000,
2,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,387.857208,698143,24,4,18446,51284,18590,51251,85.714287,26.535599,26.547468,
3,cube0,1.682778,3029,11,0,6,0,7,0,100.000000,100.000000,100.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
3,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,388.334442,699002,28,0,69757,0,69814,0,100.000000,100.000000,100.000000,
3,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,387.696655,697854,24,4,15262,54552,15207,54549,85.714287,21.830622,21.843435,
4,cube0,5.122222,9220,11,0,7,0,6,0,100.000000,100.000000,100.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,388.961121,700130,28,0,69782,0,69788,0,100.000000,100.000000,100.000000,
4,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,387.503326,697506,24,4,14762,55027,14910,54872,85.714287,21.259430,21.272358,
5,cube0,1.278889,2302,11,0,6,0,7,0,100.000000,100.000000,100.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,387.923889,698263,24,4,10426,59407,10377,59361,85.714287,14.904959,14.919161,
5,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,388.414459,699146,28,0,69738,0,69833,0,100.000000,100.000000,100.000000,
6,cube0,4.921111,8858,11,0,7,0,6,0,100.000000,100.000000,100.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
