block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,cube0,1.010556,1819,0.000000,0.000000,0.003136,0.002653,3,0.000006,2,0.000004,1,0.000002,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.625000,1.375000,0.000000,0.000000,5.500000,0.005333,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
0,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,386.785004,696213,0.003859,32.662197,33.664131,0.009648,2329,0.632086,2,0.000283,17446.375000,5.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16927.125000,14.846454,2.000000,0.002075,
0,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,387.820557,698077,0.003859,32.662197,33.664131,0.009648,2329,0.391531,2,0.000279,17446.375000,5.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16927.125000,14.846454,2.000000,0.002075,
1,cube0,1.115556,2008,0.000000,0.000000,0.003136,0.002653,3,0.000006,2,0.000004,1,0.000002,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.625000,1.375000,0.000000,0.000000,5.500000,0.005333,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
1,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,388.232788,698819,0.003859,32.662197,33.664131,0.009648,2329,0.732181,2,0.000290,17446.375000,5.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16927.125000,14.846454,2.000000,0.002075,
1,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,388.587219,699457,0.003859,32.662197,33.664131,0.009648,2329,0.737331,2,0.000282,17446.375000,5.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16927.125000,14.846454,2.000000,0.002075,
2,cube0,0.895000,1611,0.000000,0.000000,0.003136,0.002653,3,0.000006,2,0.000004,1,0.000002,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.625000,1.375000,0.000000,0.000000,5.500000,0.005333,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
2,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,388.647766,699566,0.003859,32.662197,33.664131,0.009648,2329,0.519868,2,0.000303,17446.375000,5.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16927.125000,14.846454,2.000000,0.002075,
2,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,387.857208,698143,0.003859,32.662197,33.664131,0.009648,2329,0.678698,2,0.000723,17446.375000,5.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16927.125000,14.846454,2.000000,0.002075,
3,cube0,1.682778,3029,0.000000,0.000000,0.003136,0.002653,3,0.000006,2,0.000004,1,0.000002,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.625000,1.375000,0.000000,0.000000,5.500000,0.005333,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
3,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,388.334442,699002,0.003859,32.662197,33.664131,0.009648,2329,0.631563,2,0.000255,17446.375000,5.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16927.125000,14.846454,2.000000,0.002075,
3,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,387.696655,697854,0.003859,32.662197,33.663891,0.009648,2329,0.712723,2,0.000666,17446.250000,5.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16927.125000,14.846454,2.000000,0.002075,
4,cube0,5.122222,9220,0.000000,0.000000,0.003136,0.002653,3,0.000006,2,0.000004,1,0.000002,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.625000,1.375000,0.000000,0.000000,5.500000,0.005333,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
