block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,
0,cube0,1.010556,1819,0.000000,0.000000,0.989444,0.002003,0.002778,0.000006,0.002222,0.000004,0.001111,0.000002,0.000556,0.000001,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
0,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,386.785004,696213,189.314438,0.383228,171.943893,0.348065,312.250549,0.632086,0.140000,0.000283,0.000000,
0,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,387.820557,698077,189.314438,0.383228,172.429443,0.349047,193.416107,0.391531,0.137778,0.000279,0.000000,
1,cube0,1.115556,2008,0.000000,0.000000,1.104445,0.002236,0.002778,0.000006,0.002222,0.000004,0.001111,0.000002,0.000556,0.000001,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
1,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,388.232788,698819,189.314438,0.383228,173.223892,0.350656,361.697235,0.732181,0.143333,0.000290,0.000000,
1,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,388.587219,699457,189.314438,0.383228,174.513336,0.353266,364.241669,0.737331,0.139444,0.000282,0.000000,
2,cube0,0.895000,1611,0.000000,0.000000,0.851111,0.001723,0.002778,0.000006,0.002222,0.000004,0.001111,0.000002,0.000556,0.000001,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,388.647766,699566,189.314438,0.383228,173.735001,0.351690,256.815002,0.519868,0.149444,0.000303,0.000000,
2,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,387.857208,698143,189.321106,0.383241,173.171112,0.350549,335.276672,0.678698,0.357222,0.000723,0.000000,
3,cube0,1.682778,3029,0.000000,0.000000,1.935556,0.003918,0.002778,0.000006,0.002222,0.000004,0.001111,0.000002,0.000556,0.000001,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
