block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte1_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,cube0,1.010556,1819,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
0,vector0,N/A,N/A,N/A,N/A,N/A,N/A,386.785004,696213,0.074251,0.074251,0.000000,0.000000,0.000000,0.078170,0.000000,0.000633,0.000000,
0,vector1,N/A,N/A,N/A,N/A,N/A,N/A,387.820557,698077,0.074251,0.074251,0.000000,0.000000,0.000000,0.078018,0.000000,0.000709,0.000000,
1,cube0,1.115556,2008,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
1,vector0,N/A,N/A,N/A,N/A,N/A,N/A,388.232788,698819,0.074251,0.074251,0.000000,0.000000,0.000000,0.078619,0.000000,0.000973,0.000000,
1,vector1,N/A,N/A,N/A,N/A,N/A,N/A,388.587219,699457,0.074251,0.074251,0.000000,0.000000,0.000000,0.078241,0.000000,0.000587,0.000000,
2,cube0,0.895000,1611,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2,vector0,N/A,N/A,N/A,N/A,N/A,N/A,388.647766,699566,0.074251,0.074251,0.000000,0.000000,0.000000,0.079973,0.000000,0.000433,0.000000,
2,vector1,N/A,N/A,N/A,N/A,N/A,N/A,387.857208,698143,0.074251,0.074251,0.000000,0.000000,0.000000,0.080126,0.000000,0.000671,0.000000,
3,cube0,1.682778,3029,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
3,vector0,N/A,N/A,N/A,N/A,N/A,N/A,388.334442,699002,0.074251,0.074251,0.000000,0.000000,0.000000,0.079369,0.000000,0.000423,0.000000,
3,vector1,N/A,N/A,N/A,N/A,N/A,N/A,387.696655,697854,0.074251,0.074251,0.000000,0.000000,0.000000,0.082762,0.000000,0.000735,0.000000,
4,cube0,5.122222,9220,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4,vector0,N/A,N/A,N/A,N/A,N/A,N/A,388.961121,700130,0.074251,0.074251,0.000000,0.000000,0.000000,0.079253,0.000000,0.000518,0.000000,
4,vector1,N/A,N/A,N/A,N/A,N/A,N/A,387.503326,697506,0.074251,0.074251,0.000000,0.000000,0.000000,0.082004,0.000000,0.000640,0.000000,
5,cube0,1.278889,2302,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5,vector0,N/A,N/A,N/A,N/A,N/A,N/A,387.923889,698263,0.074251,0.074251,0.000000,0.000000,0.000000,0.084857,0.000000,0.000653,0.000000,
5,vector1,N/A,N/A,N/A,N/A,N/A,N/A,388.414459,699146,0.074251,0.074251,0.000000,0.000000,0.000000,0.084782,0.000000,0.000360,0.000000,
6,cube0,4.921111,8858,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6,vector0,N/A,N/A,N/A,N/A,N/A,N/A,387.943329,698298,0.074251,0.074251,0.000000,0.000000,0.000000,0.084677,0.000000,0.000700,0.000000,
6,vector1,N/A,N/A,N/A,N/A,N/A,N/A,389.545013,701181,0.074251,0.074251,0.000000,0.000000,0.000000,0.084575,0.000000,0.000560,0.000000,
7,cube0,5.270555,9487,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
7,vector0,N/A,N/A,N/A,N/A,N/A,N/A,488.899445,880019,0.074251,0.074251,0.000000,0.000000,0.000000,0.075026,0.000000,0.001211,0.000000,
7,vector1,N/A,N/A,N/A,N/A,N/A,N/A,490.170013,882306,0.074251,0.074251,0.000000,0.000000,0.000000,0.074992,0.000000,0.000398,0.000000,
8,cube0,3.510556,6319,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
8,vector0,N/A,N/A,N/A,N/A,N/A,N/A,2.773889,4993,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
8,vector1,N/A,N/A,N/A,N/A,N/A,N/A,5.015555,9028,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
