block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,cube0,4.202778,7565,11,0,7,0,6,0,100.000000,100.000000,100.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
0,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,264.373322,475872,33,0,9283,30375,9310,30316,100.000000,23.451138,23.482986,
0,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,265.217224,477391,33,0,39626,0,39658,0,100.000000,100.000000,100.000000,
1,cube0,1.000000,1800,11,0,5,1,7,0,100.000000,92.307693,95.833336,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
1,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,266.358887,479446,33,0,8787,30842,8847,30807,100.000000,22.241842,22.274195,
1,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,267.904999,482229,33,0,39653,0,39631,0,100.000000,100.000000,100.000000,
2,cube0,4.559444,8207,11,0,7,0,6,0,100.000000,100.000000,100.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,261.165009,470097,33,0,9280,30340,9294,30370,100.000000,23.427174,23.459032,
2,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,262.327789,472190,33,0,39664,0,39620,0,100.000000,100.000000,100.000000,
3,cube0,2.495000,4491,11,0,6,0,7,0,100.000000,100.000000,100.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
3,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,259.565002,467217,33,0,39753,0,39531,0,100.000000,100.000000,100.000000,
3,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,257.293884,463129,24,9,8644,30890,8731,31019,72.727272,21.914888,21.936029,
4,cube0,5.482778,9869,11,0,6,0,7,0,100.000000,100.000000,100.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,257.851654,464133,25,8,9232,30344,9344,30364,75.757576,23.429695,23.451468,
4,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,259.647217,467365,33,0,39710,0,39574,0,100.000000,100.000000,100.000000,
5,cube0,6.508889,11716,11,0,7,0,6,0,100.000000,100.000000,100.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,263.099457,473579,33,0,8876,30765,8767,30876,100.000000,22.252914,22.285261,
5,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,264.671112,476408,33,0,39643,0,39641,0,100.000000,100.000000,100.000000,
6,cube0,5.861667,10551,11,0,5,0,8,0,100.000000,100.000000,100.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,260.582764,469049,33,0,9224,30416,9361,30283,100.000000,23.441048,23.472900,
6,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,260.625000,469125,33,0,39646,0,39639,0,100.000000,100.000000,100.000000,
7,cube0,1.001111,1802,11,0,6,0,7,0,100.000000,100.000000,100.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
7,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,249.030548,448255,32,1,8336,29045,8369,28989,96.969696,22.351114,22.384047,
7,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,249.441666,448995,33,0,37357,0,37382,0,100.000000,100.000000,100.000000,
8,cube0,1.065000,1917,11,0,6,0,7,0,100.000000,100.000000,100.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
8,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,233.970551,421147,29,3,8249,27077,8266,26887,90.625000,23.432512,23.463005,
8,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,233.957230,421123,32,0,35153,0,35325,0,100.000000,100.000000,100.000000,
9,cube0,1.547222,2785,11,0,6,0,7,0,100.000000,100.000000,100.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
9,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,235.571671,424029,32,0,7832,27424,7857,27365,100.000000,22.260847,22.296127,
9,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,235.814438,424466,32,0,35223,0,35256,0,100.000000,100.000000,100.000000,
10,cube0,5.277778,9500,11,0,6,0,7,0,100.000000,100.000000,100.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
10,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,233.296661,419934,27,5,8218,27051,8304,26906,84.375000,23.442444,23.470097,
10,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,233.412216,420142,32,0,35210,0,35269,0,100.000000,100.000000,100.000000,
11,cube0,4.110556,7399,11,0,8,0,5,0,100.000000,100.000000,100.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
11,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,239.103882,430387,32,0,7797,27455,7891,27335,100.000000,22.259428,22.294710,
11,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,239.457779,431024,32,0,35227,0,35252,0,100.000000,100.000000,100.000000,
12,cube0,1.165556,2098,11,0,7,0,7,0,100.000000,100.000000,100.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
12,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,228.589447,411461,24,8,8212,27076,8312,26878,75.000000,23.445614,23.469011,
12,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,228.299438,410939,32,0,35190,0,35289,0,100.000000,100.000000,100.000000,
13,cube0,1.481667,2667,11,0,4,0,9,0,100.000000,100.000000,100.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
13,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,235.224442,423404,32,0,7840,27486,7864,27288,100.000000,22.282131,22.317402,
13,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,235.331116,423596,32,0,35153,0,35326,0,100.000000,100.000000,100.000000,
14,cube0,4.350000,7830,11,0,4,0,9,0,100.000000,100.000000,100.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
14,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,232.434998,418383,32,0,8232,26973,8304,26970,100.000000,23.462307,23.497044,
14,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,232.537781,418568,32,0,35274,0,35204,0,100.000000,100.000000,100.000000,
15,cube0,1.619444,2915,11,0,7,0,6,0,100.000000,100.000000,100.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
15,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,236.950562,426511,32,0,35248,0,35230,0,100.000000,100.000000,100.000000,
15,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,236.686111,426035,32,0,7822,27408,7851,27397,100.000000,22.238146,22.273436,
16,cube0,2.067222,3721,11,0,5,0,8,0,100.000000,100.000000,100.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
16,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,232.538330,418569,25,7,8200,26953,8309,27016,78.125000,23.424332,23.449156,
16,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,232.615555,418708,32,0,35327,0,35152,0,100.000000,100.000000,100.000000,
