block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,cube0,4.202778,7565,0.000000,0.000000,0.005757,0.004871,3,0.000010,2,0.000008,1,0.000004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.625000,1.375000,0.000000,0.000000,5.500000,0.009792,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
0,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,264.373322,475872,0.003986,33.639713,35.111782,0.014614,1522,0.924356,10,0.004166,9910.500000,4.125000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9495.000000,15.290779,1.125000,0.002143,
0,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,265.217224,477391,0.003986,33.639713,35.111782,0.014614,1522,0.912679,10,0.004275,9910.500000,4.125000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9495.000000,15.290779,1.125000,0.002143,
1,cube0,1.000000,1800,0.000000,0.000000,0.005757,0.004871,3,0.000010,2,0.000008,1,0.000004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.625000,1.375000,0.000000,0.000000,5.500000,0.009792,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
1,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,266.358887,479446,0.003986,33.639713,35.111782,0.014614,1522,0.933961,10,0.004395,9910.500000,4.125000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9495.000000,15.290779,1.125000,0.002143,
1,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,267.904999,482229,0.003986,33.639713,35.112225,0.014614,1522,0.914864,10,0.004418,9910.625000,4.125000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9495.000000,15.290779,1.125000,0.002143,
2,cube0,4.559444,8207,0.000000,0.000000,0.005757,0.004871,3,0.000010,2,0.000008,1,0.000004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.625000,1.375000,0.000000,0.000000,5.500000,0.009792,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
2,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,261.165009,470097,0.003986,33.639713,35.111782,0.014614,1522,0.920849,10,0.004223,9910.500000,4.125000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9495.000000,15.290779,1.125000,0.002143,
2,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,262.327789,472190,0.003986,33.639713,35.111782,0.014614,1522,0.921908,10,0.004069,9910.500000,4.125000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9495.000000,15.290779,1.125000,0.002143,
3,cube0,2.495000,4491,0.000000,0.000000,0.005757,0.004871,3,0.000010,2,0.000008,1,0.000004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.625000,1.375000,0.000000,0.000000,5.500000,0.009792,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
