block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,cube0,4.202778,7565,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,
0,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,264.373322,475872,
0,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,265.217224,477391,
1,cube0,1.000000,1800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,
1,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,266.358887,479446,
1,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,267.904999,482229,
2,cube0,4.559444,8207,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,
2,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,261.165009,470097,
2,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,262.327789,472190,
3,cube0,2.495000,4491,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,
3,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,259.565002,467217,
3,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,257.293884,463129,
4,cube0,5.482778,9869,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,
4,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,257.851654,464133,
4,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,259.647217,467365,
5,cube0,6.508889,11716,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,
5,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,263.099457,473579,
5,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,264.671112,476408,
6,cube0,5.861667,10551,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,
6,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,260.582764,469049,
6,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,260.625000,469125,
7,cube0,1.001111,1802,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,
7,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,249.030548,448255,
7,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,249.441666,448995,
8,cube0,1.065000,1917,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,
8,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,233.970551,421147,
8,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,233.957230,421123,
9,cube0,1.547222,2785,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,
9,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,235.571671,424029,
9,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,235.814438,424466,
10,cube0,5.277778,9500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,
10,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,233.296661,419934,
