block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,cube0,4.202778,7565,N/A,N/A,N/A,N/A,N/A,N/A,
0,vector0,N/A,N/A,264.373322,475872,153.945526,65.685127,0.000000,0.000000,
0,vector1,N/A,N/A,265.217224,477391,153.945526,65.685127,0.000000,0.000000,
1,cube0,1.000000,1800,N/A,N/A,N/A,N/A,N/A,N/A,
1,vector0,N/A,N/A,266.358887,479446,153.945526,65.685127,0.000000,0.000000,
1,vector1,N/A,N/A,267.904999,482229,153.945526,65.685127,0.000000,0.000000,
2,cube0,4.559444,8207,N/A,N/A,N/A,N/A,N/A,N/A,
2,vector0,N/A,N/A,261.165009,470097,153.945526,65.685127,0.000000,0.000000,
2,vector1,N/A,N/A,262.327789,472190,153.945526,65.685127,0.000000,0.000000,
3,cube0,2.495000,4491,N/A,N/A,N/A,N/A,N/A,N/A,
3,vector0,N/A,N/A,259.565002,467217,153.945526,65.685127,0.000000,0.000000,
3,vector1,N/A,N/A,257.293884,463129,153.945526,65.685127,0.000000,0.000000,
4,cube0,5.482778,9869,N/A,N/A,N/A,N/A,N/A,N/A,
4,vector0,N/A,N/A,257.851654,464133,153.945526,65.685127,0.000000,0.000000,
4,vector1,N/A,N/A,259.647217,467365,153.945526,65.685127,0.000000,0.000000,
5,cube0,6.508889,11716,N/A,N/A,N/A,N/A,N/A,N/A,
5,vector0,N/A,N/A,263.099457,473579,153.945526,65.685127,0.000000,0.000000,
5,vector1,N/A,N/A,264.671112,476408,153.945526,65.685127,0.000000,0.000000,
6,cube0,5.861667,10551,N/A,N/A,N/A,N/A,N/A,N/A,
6,vector0,N/A,N/A,260.582764,469049,153.945526,65.685127,0.000000,0.000000,
6,vector1,N/A,N/A,260.625000,469125,153.945526,65.685127,0.000000,0.000000,
7,cube0,1.001111,1802,N/A,N/A,N/A,N/A,N/A,N/A,
7,vector0,N/A,N/A,249.030548,448255,144.896118,61.875637,0.000000,0.000000,
7,vector1,N/A,N/A,249.441666,448995,144.896118,61.875637,0.000000,0.000000,
8,cube0,1.065000,1917,N/A,N/A,N/A,N/A,N/A,N/A,
8,vector0,N/A,N/A,233.970551,421147,136.840485,58.386780,0.000000,0.000000,
8,vector1,N/A,N/A,233.957230,421123,136.840485,58.386780,0.000000,0.000000,
9,cube0,1.547222,2785,N/A,N/A,N/A,N/A,N/A,N/A,
9,vector0,N/A,N/A,235.571671,424029,136.840485,58.386780,0.000000,0.000000,
9,vector1,N/A,N/A,235.814438,424466,136.840485,58.386780,0.000000,0.000000,
10,cube0,5.277778,9500,N/A,N/A,N/A,N/A,N/A,N/A,
10,vector0,N/A,N/A,233.296661,419934,136.840485,58.386780,0.000000,0.000000,
10,vector1,N/A,N/A,233.412216,420142,136.840485,58.386780,0.000000,0.000000,
11,cube0,4.110556,7399,N/A,N/A,N/A,N/A,N/A,N/A,
11,vector0,N/A,N/A,239.103882,430387,136.840485,58.386780,0.000000,0.000000,
11,vector1,N/A,N/A,239.457779,431024,136.840485,58.386780,0.000000,0.000000,
12,cube0,1.165556,2098,N/A,N/A,N/A,N/A,N/A,N/A,
12,vector0,N/A,N/A,228.589447,411461,136.840485,58.386780,0.000000,0.000000,
12,vector1,N/A,N/A,228.299438,410939,136.840485,58.386780,0.000000,0.000000,
13,cube0,1.481667,2667,N/A,N/A,N/A,N/A,N/A,N/A,
13,vector0,N/A,N/A,235.224442,423404,136.840485,58.386780,0.000000,0.000000,
13,vector1,N/A,N/A,235.331116,423596,136.840485,58.386780,0.000000,0.000000,
14,cube0,4.350000,7830,N/A,N/A,N/A,N/A,N/A,N/A,
14,vector0,N/A,N/A,232.434998,418383,136.840485,58.386780,0.000000,0.000000,
14,vector1,N/A,N/A,232.537781,418568,136.840485,58.386780,0.000000,0.000000,
15,cube0,1.619444,2915,N/A,N/A,N/A,N/A,N/A,N/A,
15,vector0,N/A,N/A,236.950562,426511,136.840485,58.386780,0.000000,0.000000,
15,vector1,N/A,N/A,236.686111,426035,136.840485,58.386780,0.000000,0.000000,
16,cube0,2.067222,3721,N/A,N/A,N/A,N/A,N/A,N/A,
16,vector0,N/A,N/A,232.538330,418569,136.840485,58.386780,0.000000,0.000000,
16,vector1,N/A,N/A,232.615555,418708,136.840485,58.386780,0.000000,0.000000,
17,cube0,5.380556,9685,N/A,N/A,N/A,N/A,N/A,N/A,
17,vector0,N/A,N/A,234.544449,422180,136.840485,58.386780,0.000000,0.000000,
17,vector1,N/A,N/A,234.624451,422324,136.840485,58.386780,0.000000,0.000000,
18,cube0,1.838333,3309,N/A,N/A,N/A,N/A,N/A,N/A,
18,vector0,N/A,N/A,234.692215,422446,136.840485,58.386780,0.000000,0.000000,
18,vector1,N/A,N/A,234.871109,422768,136.840485,58.386780,0.000000,0.000000,
19,cube0,1.870556,3367,N/A,N/A,N/A,N/A,N/A,N/A,
19,vector0,N/A,N/A,236.699448,426059,136.840485,58.386780,0.000000,0.000000,
19,vector1,N/A,N/A,236.858337,426345,136.840485,58.386780,0.000000,0.000000,
