block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,
0,cube0,4.202778,7565,0.000000,0.000000,4.501667,0.016735,0.002778,0.000010,0.002222,0.000008,0.001111,0.000004,0.000556,0.000002,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
0,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,264.373322,475872,130.821106,0.486324,56.609444,0.210444,248.651672,0.924356,1.120556,0.004166,0.000000,
0,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,265.217224,477391,130.812775,0.486293,57.296112,0.212997,245.510559,0.912679,1.150000,0.004275,0.000000,
1,cube0,1.000000,1800,0.000000,0.000000,0.960000,0.003569,0.002778,0.000010,0.002222,0.000008,0.001111,0.000004,0.000556,0.000002,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
1,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,266.358887,479446,130.818329,0.486313,55.949444,0.207990,251.235550,0.933961,1.182222,0.004395,0.000000,
1,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,267.904999,482229,130.817780,0.486311,56.565556,0.210281,246.098328,0.914864,1.188333,0.004418,0.000000,
2,cube0,4.559444,8207,0.000000,0.000000,4.480556,0.016656,0.002778,0.000010,0.002222,0.000008,0.001111,0.000004,0.000556,0.000002,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,261.165009,470097,130.821106,0.486324,56.912777,0.211572,247.708328,0.920849,1.136111,0.004223,0.000000,
2,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,262.327789,472190,130.812775,0.486293,57.423889,0.213472,247.993332,0.921908,1.094444,0.004069,0.000000,
3,cube0,2.495000,4491,0.000000,0.000000,2.208333,0.008209,0.002778,0.000010,0.002222,0.000008,0.001111,0.000004,0.000556,0.000002,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
