block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte1_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,cube0,4.202778,7565,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
0,vector0,N/A,N/A,N/A,N/A,N/A,N/A,264.373322,475872,0.269033,0.197770,0.071264,0.000000,0.000000,0.435471,0.000000,0.747734,0.071049,
0,vector1,N/A,N/A,N/A,N/A,N/A,N/A,265.217224,477391,0.269033,0.197770,0.071264,0.000000,0.000000,0.444992,0.000000,0.740341,0.054329,
1,cube0,1.000000,1800,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
1,vector0,N/A,N/A,N/A,N/A,N/A,N/A,266.358887,479446,0.269033,0.197770,0.071264,0.000000,0.000000,0.443901,0.000000,0.751749,0.071627,
1,vector1,N/A,N/A,N/A,N/A,N/A,N/A,267.904999,482229,0.269033,0.197770,0.071264,0.000000,0.000000,0.454413,0.000000,0.739442,0.053418,
2,cube0,4.559444,8207,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2,vector0,N/A,N/A,N/A,N/A,N/A,N/A,261.165009,470097,0.269033,0.197770,0.071264,0.000000,0.000000,0.433100,0.000000,0.712297,0.069199,
2,vector1,N/A,N/A,N/A,N/A,N/A,N/A,262.327789,472190,0.269033,0.197770,0.071264,0.000000,0.000000,0.435056,0.000000,0.721421,0.058315,
3,cube0,2.495000,4491,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
3,vector0,N/A,N/A,N/A,N/A,N/A,N/A,259.565002,467217,0.269033,0.197770,0.071264,0.000000,0.000000,0.434271,0.000000,0.734946,0.070136,
3,vector1,N/A,N/A,N/A,N/A,N/A,N/A,257.293884,463129,0.269033,0.197770,0.071264,0.000000,0.000000,0.429256,0.000000,0.751117,0.072613,
4,cube0,5.482778,9869,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4,vector0,N/A,N/A,N/A,N/A,N/A,N/A,257.851654,464133,0.269033,0.197770,0.071264,0.000000,0.000000,0.421937,0.000000,0.730328,0.070326,
4,vector1,N/A,N/A,N/A,N/A,N/A,N/A,259.647217,467365,0.269033,0.197770,0.071264,0.000000,0.000000,0.430500,0.000000,0.725874,0.053309,
5,cube0,6.508889,11716,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5,vector0,N/A,N/A,N/A,N/A,N/A,N/A,263.099457,473579,0.269033,0.197770,0.071264,0.000000,0.000000,0.442491,0.000000,0.746227,0.070576,
5,vector1,N/A,N/A,N/A,N/A,N/A,N/A,264.671112,476408,0.269033,0.197770,0.071264,0.000000,0.000000,0.451086,0.000000,0.736307,0.054986,
6,cube0,5.861667,10551,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6,vector0,N/A,N/A,N/A,N/A,N/A,N/A,260.582764,469049,0.269033,0.197770,0.071264,0.000000,0.000000,0.421283,0.000000,0.706082,0.069234,
6,vector1,N/A,N/A,N/A,N/A,N/A,N/A,260.625000,469125,0.269033,0.197770,0.071264,0.000000,0.000000,0.424620,0.000000,0.718499,0.058021,
7,cube0,1.001111,1802,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
7,vector0,N/A,N/A,N/A,N/A,N/A,N/A,249.030548,448255,0.252392,0.186113,0.066278,0.000000,0.000000,0.410911,0.000000,0.684033,0.067511,
